"date","state","si"
2020-02-24,Республика Марий Эл,2.85
2020-02-24,Волгоградская область,3.05
2020-02-24,Москва,2.690909090909091
2020-02-24,Рязанская область,2.7
2020-02-24,Ханты-Мансийский автономный округ - Югра,3.016666666666667
2020-02-24,Магаданская область,2.9
2020-02-24,Республика Саха (Якутия),3.05
2020-02-24,Тамбовская область,3
2020-02-24,Астраханская область,2.7
2020-02-24,Ямало-Ненецкий автономный округ,3.15
2020-02-24,Пермский край,3.1428571428571423
2020-02-24,Ростовская область,3.227272727272727
2020-02-24,Республика Татарстан,2.8888888888888884
2020-02-24,Новосибирская область,2.9
2020-02-24,Камчатский край,3.2
2020-02-24,Республика Северная Осетия — Алания,2.4
2020-02-24,Пензенская область,2.8666666666666667
2020-02-24,Кировская область,3.0999999999999996
2020-02-24,Чувашская Республика,2.9000000000000004
2020-02-24,Тульская область,3.0500000000000003
2020-02-24,Мурманская область,3.366666666666667
2020-02-24,Республика Алтай,2.3
2020-02-24,Новгородская область,3.05
2020-02-24,Кабардино-Балкарская Республика,2.7
2020-02-24,Саратовская область,3
2020-02-25,Амурская область,0.9666666666666667
2020-02-25,Республика Тыва,1.7
2020-02-25,Иркутская область,1.1833333333333333
2020-02-25,Архангельская область,1.3333333333333333
2020-02-25,Республика Бурятия,2.3
2020-02-25,Оренбургская область,1.15
2020-02-25,Сахалинская область,0.4
2020-02-25,Удмуртская Республика,1.15
2020-02-25,Республика Коми,1.3333333333333333
2020-02-25,Республика Башкортостан,1.3666666666666665
2020-02-25,Липецкая область,1.15
2020-02-25,Хабаровский край,1.0499999999999998
2020-02-25,Томская область,1.15
2020-02-25,Ярославская область,1.0499999999999998
2020-02-25,Костромская область,0.9
2020-02-25,Смоленская область,1.0333333333333334
2020-02-25,Курганская область,0.9
2020-02-25,Карачаево-Черкесская Республика,0.8
2020-02-25,Республика Калмыкия,2.6
2020-02-25,Чеченская Республика,1.4249999999999998
2020-02-25,Тверская область,1.0499999999999998
2020-02-25,Кемеровская область (Кузбасс),1.3
2020-02-25,Воронежская область,1.2
2020-02-25,Москва,1.0568181818181817
2020-02-25,Краснодарский край,0.9999999999999999
2020-02-25,Орловская область,0.8
2020-02-25,Республика Ингушетия,0.3
2020-02-25,Вологодская область,0.9500000000000001
2020-02-25,Санкт-Петербург и Ленинградская область,1.1153846153846154
2020-02-25,Курская область,1.2000000000000002
2020-02-25,Псковская область,0.9
2020-02-25,Республика Саха (Якутия),1.15
2020-02-25,Нижегородская область,0.975
2020-02-25,Ямало-Ненецкий автономный округ,0.95
2020-02-25,Республика Крым,1.5333333333333332
2020-02-25,Омская область,1
2020-02-25,Ставропольский край,1.088888888888889
2020-02-25,Белгородская область,1.0999999999999999
2020-02-25,Республика Дагестан,1.4666666666666668
2020-02-25,Республика Мордовия,0.7
2020-02-25,Калужская область,0.6
2020-02-25,Красноярский край,1.3
2020-02-25,Приморский край,0.9400000000000001
2020-02-25,Алтайский край,1.25
2020-02-25,Ивановская область,1.0333333333333334
2020-02-25,Республика Адыгея,0.6
2020-02-25,Владимирская область,1.12
2020-02-25,Республика Хакасия,1.05
2020-02-25,Свердловская область,1.241666666666667
2020-02-25,Республика Северная Осетия — Алания,0.9
2020-02-25,Челябинская область,1.3250000000000002
2020-02-25,Брянская область,1
2020-02-25,Кабардино-Балкарская Республика,1.1
2020-02-25,Ульяновская область,1.05
2020-02-25,Забайкальский край,2.8
2020-02-25,Рязанская область,0.7
2020-02-25,Тюменская область,0.9333333333333335
2020-02-25,Республика Карелия,1.1
2020-02-25,Магаданская область,0.6
2020-02-25,Самарская область,1.3666666666666665
2020-02-25,Волгоградская область,1.25
2020-02-25,Республика Марий Эл,1
2020-02-25,Камчатский край,0.8
2020-02-25,Калининградская область,0.8
2020-02-25,Астраханская область,0.9
2020-02-25,Ростовская область,1.3818181818181818
